# =============================================================================
# {All-in-One Deluxe Edition}-yuanze31
# =============================================================================

# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================

# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新日志
d11_staffalert_title_OBJECTS03	监狱缺少全面的閉路電視系統。
d11_staffalert_title_OBJECTS04	监狱缺少門禁控制系統。
d11_staffalert_title_POWER01	多個监狱區域沒有供電。
d11_staffalert_title_POWER02	我们的其中一台發電機負載過重。
d11_staffalert_title_PRISONERS02	囚犯數量已超出警衛數量。
d11_staffalert_title_PRISONERS03	我们的牢房品質太低。
d11_staffalert_title_ROOMS01	您监狱內的一個房間不符合規定的標準。
d11_staffalert_title_STAFF01	您的大部分工作人員均非常疲憊。
d11_staffalert_title_WATER01	多個监狱區域沒有自來水供应。
d11_staffalert_tooltip_CELLS01	增加囚犯收監數量[[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND01	構建金屬探測器[[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND02	雇佣訓犬員[[ButtonCross]]
d11_staffalert_tooltip_CONTRABAND03	檢視情報報告[[ButtonCross]]
d11_staffalert_tooltip_DEATHROW01a	構建死囚區[[ButtonCross]]
d11_staffalert_tooltip_DEATHROW01b	調查死囚區[[ButtonCross]]
d11_staffalert_tooltip_DOCTOR01	雇佣醫生[[ButtonCross]]
d11_staffalert_tooltip_HOLDINGCELL01	構建更多牢房[[ButtonCross]]
d11_staffalert_tooltip_INFORMANTS01	變更为保護性監禁[[ButtonCross]]
d11_staffalert_tooltip_MONEY01	接收新的津貼任務[[ButtonCross]]
d11_staffalert_tooltip_NEEDS01	新增更多馬桶[[ButtonCross]]
d11_staffalert_tooltip_NEEDS02	新增更多馬桶[[ButtonCross]]
d11_staffalert_tooltip_NEEDS03	修改管理制度[[ButtonCross]]
d11_staffalert_tooltip_NEEDS04	雇佣廚師[[ButtonCross]]
d11_staffalert_tooltip_NEEDS05	構建電話亭[[ButtonCross]]
d11_staffalert_tooltip_NEEDS06	雇佣清洁工[[ButtonCross]]
d11_staffalert_tooltip_NEEDS07	檢視囚犯需求[[ButtonCross]]
d11_staffalert_tooltip_NEEDS08	修改管理制度[[ButtonCross]]
d11_staffalert_tooltip_NEEDS09	構建舉重床[[ButtonCross]]
d11_staffalert_tooltip_NEEDS10	構建收音機[[ButtonCross]]
d11_staffalert_tooltip_NEEDS11	構建長椅[[ButtonCross]]
d11_staffalert_tooltip_NEEDS12	建立更多牢房[[ButtonCross]]
d11_staffalert_tooltip_NEEDS13	修改管理制度[[ButtonCross]]
d11_staffalert_tooltip_NEEDS14	構建洗衣房[[ButtonCross]]
d11_staffalert_tooltip_NEEDS15	開設药物治療[[ButtonCross]]
d11_staffalert_tooltip_NEEDS16	開設酗酒者集體治療[[ButtonCross]]
d11_staffalert_tooltip_NEEDS18	開設精神指引課程[[ButtonCross]]
d11_staffalert_tooltip_NEEDS19	構建圖書館[[ButtonCross]]
d11_staffalert_tooltip_OBJECTS01	構建噴水滅火裝置[[ButtonCross]]
d11_staffalert_tooltip_OBJECTS02	構建垃圾箱[[ButtonCross]]
d11_staffalert_tooltip_OBJECTS03	構建閉路電視攝像機[[ButtonCross]]
d11_staffalert_tooltip_OBJECTS04	構建門禁控制系統[[ButtonCross]]
d11_staffalert_tooltip_POWER01	構建電纜[[ButtonCross]]
d11_staffalert_tooltip_POWER02	增加電源供应[[ButtonCross]]
d11_staffalert_tooltip_PRISONERS02	雇佣警衛[[ButtonCross]]
d11_staffalert_tooltip_PRISONERS03	改進牢房[[ButtonCross]]
d11_staffalert_tooltip_ROOMS01	檢查要求[[ButtonCross]]
d11_staffalert_tooltip_STAFF01	構建員工休息室[[ButtonCross]]
d11_staffalert_tooltip_WATER01	構建水管[[ButtonCross]]
d11_staffalert_urgentsummary_CELLS01	我们拥有許多空閒的空間，可收監更多囚犯！
d11_staffalert_urgentsummary_CONTRABAND01	监狱內的工具和武器供应情況非常危險！
d11_staffalert_urgentsummary_CONTRABAND02	监狱內的毒品供应情況非常危險！
d11_staffalert_urgentsummary_CONTRABAND03	监狱內的違禁品持有水準已經失控！
d11_staffalert_urgentsummary_DEATHROW01	如果为监狱新增死囚區，我们就可以快速賺取大量資金。
d11_staffalert_urgentsummary_DOCTOR01	我们需要雇佣醫生在醫務室內工作！
d11_staffalert_urgentsummary_HOLDINGCELL01	我们必須減少關押在拘留室內的囚犯人數！
d11_staffalert_urgentsummary_INFORMANTS01	我们的其中一名線人即將被發現，他的生命正處于危險之中！
d11_staffalert_urgentsummary_MONEY01	我们的現金幾乎就要用完了！
d11_staffalert_urgentsummary_NEEDS01	說真的！我不是在開玩笑。請構建更多馬桶！
d11_staffalert_urgentsummary_NEEDS02	說真的！我不是在開玩笑。請構建更多馬桶！
d11_staffalert_urgentsummary_NEEDS03	喂！醒醒吧！您的囚犯需要睡覺！
d11_staffalert_urgentsummary_NEEDS04	把餅乾放下！我们的囚犯正在挨餓！
d11_staffalert_urgentsummary_NEEDS05	發發善心吧…您必須讓囚犯與家人聯繫！
d11_staffalert_urgentsummary_NEEDS06	呸！我们的监狱令人作嘔。
d11_staffalert_urgentsummary_NEEDS07	我们的囚犯覺得這裡不安全。拜託，請做點什麼吧。
d11_staffalert_urgentsummary_NEEDS08	呃，我们的囚犯好髒啊。
d11_staffalert_urgentsummary_NEEDS09	天啊，我们的囚犯非常不健康。
d11_staffalert_urgentsummary_NEEDS10	我们的囚犯簡直無聊透了！
d11_staffalert_urgentsummary_NEEDS11	拜託，他们只是想要個能坐著的地兒。
d11_staffalert_urgentsummary_NEEDS12	我们的囚犯越來越生氣，您是不會喜歡生氣的囚犯的。
d11_staffalert_urgentsummary_NEEDS13	他们可不是成天勞作的工蜂，他们需要空閒時間才能繼續堅持下去！
d11_staffalert_urgentsummary_NEEDS14	天啊！整個监狱到處都是邋遢漢！
d11_staffalert_urgentsummary_NEEDS15	我们的囚犯中有太多人吸毒成癮。我们必須做點什麼！
d11_staffalert_urgentsummary_NEEDS16	我们的囚犯有嚴重的酗酒問題！
d11_staffalert_urgentsummary_NEEDS18	我们的囚犯需要精神指引。
d11_staffalert_urgentsummary_NEEDS19	我们应該为不認字的囚犯設置一個房間。
d11_staffalert_urgentsummary_OBJECTS01	如果發生火灾，我们將面臨嚴重的危險！
d11_staffalert_urgentsummary_OBJECTS02	我们真的需要購買些垃圾箱！
d11_staffalert_urgentsummary_OBJECTS03	我们真的需要安裝更多的閉路電視攝像機！
d11_staffalert_urgentsummary_OBJECTS04	是時候提高工作效率並安裝門禁控制系統了！
d11_staffalert_urgentsummary_POWER01	监狱的部分區域仍然沒有供電！
d11_staffalert_urgentsummary_POWER02	您的發電機嚴重超載！
d11_staffalert_urgentsummary_PRISONERS02	囚犯數量已超出我们的警衛數量，您必須雇佣更多警衛！
d11_staffalert_urgentsummary_PRISONERS03	我们需要儘快提高牢房的總體品質！
d11_staffalert_urgentsummary_ROOMS01	您的部分房間仍然無法發揮效用！
d11_staffalert_urgentsummary_STAFF01	您的工作人員非常疲憊，您必須幫助他们！
d11_staffalert_urgentsummary_WATER01	监狱的部分區域仍然沒有供水！
objective_HelpEnvironmentallyFriendly_child_1	正在回收
objective_HelpEnvironmentallyFriendly_child_1_description	回收系统引进了一种新方法，可以在不破坏环境的前提下清除废物。购买垃圾箱并研究“回收激励”行政系统任务后，就可以回收利用以前当作垃圾丢掉的所有废物，且每回收一袋垃圾你就将得到 $10 的奖励。
d11_tooltip_HelpEnvironmentallyFriendly_child_1_SectionTitle	执行“选择”操作，即可显示高亮主题的相关信息。
objective_HelpEnvironmentallyFriendly_child_2	园艺
objective_HelpEnvironmentallyFriendly_child_2_description	研究“园艺”行政系统任务后，囚犯就可以在新建的花园房中照料植物。与农作物不同的是，鲜花无法收获和外销，不过它们可以美化监狱并使负责照料的囚犯得到安抚。
d11_tooltip_HelpEnvironmentallyFriendly_child_2_SectionTitle	执行“选择”操作，即可显示高亮主题的相关信息。
equipment_WateringCan	"洒水壶	"
d11_Crop_Placement_Error_01	农作物只能放置在各自的农业房间内。
d11_Crop_Placement_Error_02	农作物只能放置在尘土地、泥地、草坪、草坪拐角或花田上。
interfacemode_objectPack_filter_all	所有种子包
d11_staffalert_summary_BasicFarming01	可在每个农业房间内种植蔬菜、果树和谷物，农作物收获后可外销出售，也可用作囚犯餐食。
d11_staffalert_summary_BasicFarming02	农民不仅要处理耕种方面的一切事宜，还要将种田技能传授给囚犯。
oobjective_HelpEnvironmentallyFriendly	和其他农作物不同的是，果树会持续不断地产出水果，因此无需在收获之后将其移除。
d11_staffalert_summary_AdvancedFarming01	在默认情况下，系统会在每次收获后自动重新购买和种植蔬菜和谷物类农作物。
d11_staffalert_summary_AdvancedFarming02	“农作物分配”选项可以管控监狱内种植食材收获后的去向。
d11_staffalert_summary_AdvancedFarming03	肥料可用于农业房间内的任何地方，施肥可促进农作物生长。
d11_staffalert_summary_GreenEnergy01	所有的绿色能源都需要连接至变压器，其生产的电能才可供使用。
d11_staffalert_summary_GreenEnergy02	需要变压器才能使用绿色能源和为电池充电。
d11_staffalert_summary_GreenEnergy03	外销电能测量仪可将未使用的电力送回地区电网，获取经济收益。
d11_staffalert_title_BasicFarming01	农业系统
d11_staffalert_title_BasicFarming02	农民
d11_staffalert_title_BasicFarming03	果树
d11_staffalert_title_AdvancedFarming01	自动种植农作物
d11_staffalert_title_AdvancedFarming02	农作物分配
d11_staffalert_title_AdvancedFarming03	施肥系统
d11_staffalert_title_GreenEnergy01	生产绿色能源
d11_staffalert_title_GreenEnergy02	转换绿色能源
d11_staffalert_title_GreenEnergy03	外销储备电能
d11_staffalert_details_BasicFarming01	每个农业房间都需要放置于室外，而且其中必须建有小屋。
d11_staffalert_details_BasicFarming02	农民将在农业培训计划中担任囚犯的教员。
d11_staffalert_details_BasicFarming03	尽管果树价格昂贵、生长周期长，不过其产量要比其他类型的农作物高得多。
d11_staffalert_details_AdvancedFarming01	可在“政策”菜单中开启或关闭“自动种植”选项。
d11_staffalert_details_AdvancedFarming02	解锁后，可在“后勤”菜单中找到此选项。
d11_staffalert_details_AdvancedFarming03	研究“农业”后将解锁堆肥垃圾桶和额外两种肥料。
d11_staffalert_details_GreenEnergy01	绿色能源必须沿着变压器两侧箭头标记所指示的方向进行传输。
d11_staffalert_details_GreenEnergy02	与电容器和发电站一样，电池只能放置在变压器旁边。
d11_staffalert_details_GreenEnergy03	外销电能测量仪必须连接到接有电池的变压器才能正常运转。
d11_staffalert_hint_BasicFarming01	不同于蔬菜和水果，谷物类农作物只能外销出售。
d11_staffalert_hint_BasicFarming02	农民也将在其耕种区域内完成所有园艺工作。
d11_staffalert_hint_BasicFarming03	在进行大面积种植时，果树能提供最为高效的食物供应。
d11_staffalert_hint_AdvancedFarming01	此规则在森林中也同样适用。
d11_staffalert_hint_AdvancedFarming02	生长、消耗或储存食物的房间可以互相连接，以便严格管控食材分配。
d11_staffalert_hint_AdvancedFarming03	堆肥垃圾桶可以免费将食物、植物废料和其他成分转化为堆肥。
d11_staffalert_hint_GreenEnergy01	如果直接将未经变压的绿色能源连接到任何电器上，就将导致电力中断。
d11_staffalert_hint_GreenEnergy02	电池会将任何未使用的电力储存起来，以供紧急时使用或出口外销。
d11_staffalert_hint_GreenEnergy03	任何连接至变压器的电源（哪怕是发电站）都可为电池充电。
d11_staffalert_tooltip_BasicFarming01	打开“房间”菜单 [[*X]]
d11_staffalert_tooltip_BasicFarming02	打开“雇佣员工”菜单 [[*X]]
d11_staffalert_tooltip_BasicFarming03	打开“物品”菜单 [[*X]]
d11_staffalert_tooltip_AdvancedFarming01	打开“政策”菜单 [[*X]]
d11_staffalert_tooltip_AdvancedFarming02	打开“后勤”菜单 [[*X]]
d11_staffalert_tooltip_AdvancedFarming03	打开“物品”菜单 [[*X]]
d11_staffalert_tooltip_GreenEnergy01	打开“设施/电气”菜单 [[*X]]
d11_staffalert_tooltip_GreenEnergy02	打开“设施/电气”菜单 [[*X]]
d11_staffalert_tooltip_GreenEnergy03	打开“电线布局”菜单 [[*X]]
buildtoolbar_popup_mat_HayBailWall	高而脆弱的干草捆。这个方案较为美观，但不怎么安全。
buildtoolbar_popup_mat_WoodenFence	外观更自然的人造木栅栏。
buildtoolbar_popup_mat_GardenWall	为监狱边界增添些许生气和色彩。
buildtoolbar_popup_obj_TopiaryBushBall	一种球形装饰灌木丛。
buildtoolbar_popup_obj_SellUtility_01	需手动操作。以 85% 的购置价格出售已放置的电缆。
buildtoolbar_popup_obj_SellUtility_02	需手动操作。以 85% 的购置价格出售已放置的水管。
buildtoolbar_popup_obj_SellObject	如题。\n\n按住左键并拖动鼠标，可以连续卖掉多个物品。
buildtoolbar_popup_obj_SellMaterial	以 85% 的购置价格出售任何多余的建筑材料堆（如电缆和砖块）。
buildtoolbar_popup_obj_SellFlooring	以 85% 的购置价格出售不再需要的地面砖块。
d11_meal_quantity_description	调整每个囚犯进餐时消耗的食材量，可调范围为 1 至 3。消耗更多的食材将会进一步满足囚犯对食物的需求，同时也会在当前供应量的基础上增加食材配送量。
d11_meal_variety_description	"使用此选项，则可控制配送食物时运送至监狱的食材类型数量。改变此选项不会影响订购的食材量，仅影响囚犯的餐食。	"
d11_meal_system_description	监狱的食物系统基于以下 4 大因素形成：餐食选项（种类和数量）、当前囚犯人数、每天餐食量以及储存的食材量。与外来食材相比，食用监狱内种植的农作物可以满足额外的食物需求，让囚犯处于“健康”状态。
d11_IngredientRatio_hint	显示当前仓库中这两种类型食材的数量
d11_meal_ingredients_count_per_meal_hint	根据所选餐食类型，当前数量的囚犯一餐需要消耗的食材数量
d11_meal_ingredients_count_per_day_hint	根据所选餐食类型，当前数量的囚犯今天需要消耗的食材数量
d11_crops_per_day_hint	过去 24 小时内购得农作物的总数。
d11_imported_ingredients_cost_hint	过去24小时内所购买和收到外来食材成本
delivered	购买所有食材所花费的总成本
d11_crop_cost_hint	过去 24 小时内购得农作物的总价值
d11_meal_cost_per_meal_hint	一名囚犯平均消耗的食材量，基于所选餐食类型及其优势计算得出
d11_meal_cost_total_hint	所有囚犯一餐中总共消耗的食材量，基于所选餐食类型及其优势计算得出
d11_meal_estimated_price_hint	每名囚犯预计消耗的食品总量。这一数值只能根据相关外部影响因素数值如: 种子掉落的数量, 农作物的生长速度和收割数量来估计。
including	"种子掉落量、农作物生长时间及变化的农作物产量。	"
d11_GreenPower_Locked	该电源已通过“补助”菜单中的绿色能源目标解锁。
d11_powerstation_overloaded_Raw_power	已过载或未经变压的绿色能源不能与电器相连
D11_PowerExport_Error	通过电线连接到变压器，以便外销多余的电能。
d11_powerexportmeter_powertosell	"可外销电能： $*X"
d11_PowerExport_PowerCap	外销限制：[*X]
buildtoolbar_popup_uts_Transformer	将绿色电源产出的电力转换为适用于电器的电能，并按箭头所示方向流动传输。任何来自绿色能源或发电站的备用电力均可为邻近电池充电，不过变压器的电能输入上限为 5,000 单位。
buildtoolbar_popup_uts_PowerExportMeter	能够将储存的电能送回至电网以获取经济效益的设备，该设备必须通过电线连接到接有电池的变压器才能正常运转。
d11_continuous_fertilizer_tooltip	选择是否需要自动购买肥料，及肥料质量等级。
d11_crop_types_tooltip	选择自动购买自然农作物还是转基因农作物。转基因农作物的生长时间将缩短 50%，但等量农作物的外销价格也较低，同时囚犯在食用时也不会产生需求增长。
d11_farm_search_freq_tooltip	由于农业房间不在搜查范围内，请使用该选项决定是否将农业房间包含在日常搜查范围内。
d11_farm_search_target_tooltip	由于农业房间不在搜查范围内，请使用该选项，通过搜查频率选项，决定针对哪个道具或实体进行搜查。
d11_continuous_planting_tooltip	启用此选项后，将在收获农作物后自动重新种植相同的农作物，与在森林的生长机制类似。
d11_researchhint_l_farming	此研究项可以解锁多项农业功能，例如自动化耕种道具、更昂贵的农作物、堆肥垃圾桶和肥料道具、食品储藏室和立式冰箱，还有狱中劳役工作和农作物分配控制方法。
object_quickconnect	快速连接
objective_GoingGreenInfo_child_1	“迈向绿色”最主要的特色已在下方列出，将鼠标悬停在各个小标题上，相关特色的描述和说明就会显示出来。
d11_cropDistributionHint	右键点击：管理分配
d11_manageCropsInstructions	你可以点击百分比按钮将其锁定，从而防止其他房间改变此比例。否则，请使用箭头按钮改变百分比。在所有连接的房间中，每种农作物的总量不得超过 100%。
dlc_name_seaAirLand	困守孤岛
dlc_name_greenMachine	迈向绿色
interfacemode_objectType_filter_requiresWater	管道系统
interfacemode_objectType_filter_requiresElectricity	电子设施
interfacemode_objectType_filter_entertainment	娱乐设施
interfacemode_objectType_filter_rest	休息
interfacemode_objectType_filter_exercise	锻炼
interfacemode_objectType_filter_decoration	装饰
interfacemode_objectType_filter_foliage	植物
interfacemode_objectType_filter_signs	标志
interfacemode_objectType_filter_security	安保
interfacemode_objectType_filter_catering	看护
interfacemode_objectType_filter_misc	其他
material_SellFlooring	出售地板
object_AdvancedAutoGatherer	高级自动收集器
object_farmer	农民
object_OrganicWaste	有机废物
object_CompostBin	堆肥垃圾桶
object_DumpObject	丢弃物品
room_VegetableAllotment	菜田
room_FruitOrchard	果园
room_FarmingField	农田
room_pantry	食品储藏室
room_flowergarden	花园
buildtoolbar_popup_room_Pantry	储存所有新鲜种植的蔬菜水果的房间，此房间为冷藏室，用于储存所有监狱内生长的食材。
buildtoolbar_popup_obj_Shed	储存所有种子、工具和其他农业道具的区域。该区域还有可用于初级灌溉的水龙头。
buildtoolbar_popup_obj_AdvancedAutoGatherer	每 6 小时激活一次，用于在一片 10x10 的区域内收集和储存所有食材。
buildtoolbar_popup_obj_CompostBin	用于改造食物和有机废物，制成可使用的肥料。
buildtoolbar_popup_obj_PinkFlamingo	令人愉悦的经典花园装饰物。
buildtoolbar_popup_obj_BowtieBandit	衣冠楚楚的小伙子。
buildtoolbar_popup_obj_Shepherd	谁是聪明的小女孩！？
buildtoolbar_popup_obj_DumpObject	在监狱内丢弃物品。
buildtoolbar_popup_uts_quickconnect	快速将任何监控系统或自动化系统连接至其最近的接收物品。
contraband_Ingredient	酿酒原料
contraband_Kicker	制酒用发酵水果
contraband_StashLocation	藏匿地点
d11_crop_types_caption	农作物类型
d11_farm_search_freq_option_3days	每 3 天
d11_farm_search_freq_option_5days	每 5 天
d11_farm_search_target_option_crops	仅限农作物
Ingredients_UsageCaption	比率
researchtooltip_farming	解锁高级农业技术、设备，以及更昂贵的农作物。
quickbuild_grove	小树林
quickbuild_flowerGarden	花园
quickbuild_yard	庭院
quickbuild_hedgeMaze	树篱迷宫
buildtoolbar_quickbuild_flowerGarden	为囚犯提供的安静休憩区。
buildtoolbar_quickbuild_grove	为土地增添生机的树林。
buildtoolbar_quickbuild_hedgeMaze	使用树篱搭建的初级迷宫，可供囚犯进行探索。
buildtoolbar_quickbuild_yard	标准庭院，包含囚犯可能需要的任何东西。
objective_target_ExportPower1	绿色能源目标 3
objective_target_ExportPower1_description	将电能外销限额提升至 1,000 单位。
objective_target_ExportPower1_task	外销 1,000 单位电能。
objective_target_ExportPower1_reward	已完成绿色能源目标 3。
objective_target_ExportPower1_reward_text	已将电能外销限额提升至 1,000 单位
objective_target_ExportPower2	绿色能源目标 4
objective_target_ExportPower2_description	将电能外销限额提升至 2,500 单位。
objective_target_ExportPower2_task	外销 2,500 单位电能。
objective_target_ExportPower2_reward	已完成绿色能源目标 4。
objective_target_ExportPower2_reward_text	已将电能外销限额提升至 2,500 单位
objective_target_ExportPower3	绿色能源目标 5
objective_target_ExportPower3_description	将电能外销限额提升至 5,000 单位。
objective_target_ExportPower3_task	外销 5,000 单位电能。
objective_target_ExportPower3_reward	已完成绿色能源目标 5。
objective_target_ExportPower3_reward_text	已将电能外销限额提升至 5,000 单位
interface_title_targets	绿色能源目标
objective_HelpGreenEnergy_child_3_description	由于原始绿色能源属性不同，每个绿色电源必须通过电缆连接至变压器，之后才可输出为供电器使用的电能。\n\n变压器本身不仅可以将原始绿色能源转换为可供使用的能源，还能为相邻的电池充电。\n\n储存在电池道具内的能源可在紧急状况下使用，还可经由外销电能测量仪成为新的外销商品。
objective_HelpGreenEnergy_child_5_description	可在补助菜单中查看一些关于绿色能源的目标。通过完成这些目标，你可获取以下奖励：\n\n- 提高每日电能外销上限\n- 解锁其他电源\n- 改善任何已购买的绿色电源性能。
objective_HelpNarcoticProduction_child_2_description	另一方面，制毒只能在农田中进行，囚犯会尝试破坏现有的农作物，从而藏匿可生长的毒品植株。\n\n这些遭到破坏的农作物会散发出难闻的味道，因此警犬能察觉到。但这些区域不在搜查范围内，因此必须手动发起搜查，但每次搜查都有概率破坏农作物。\n\n如果正好是由某类符合条件的囚犯收割农作物，收获的农作物中也会包含麻醉品。\n\n帮派也能够控制农田，以确保控制毒品生产线。
objectiveWindow_FilterButton_0_title	任务
objectiveWindow_FilterButton_1_title	迈向绿色
objectiveWindow_FilterButton_0_tooltip	进行中的任务
objectiveWindow_FilterButton_1_tooltip	描述和解释“迈向绿色”主要特色的一系列信息
escapemode_info_board	登上渡轮
reports_ingredients_usageTitle	新鲜食材和外来食材使用量比率
objective_HelpEnvironmentallyFriendly	环境友好

object_OxStatue	牛雕像
object_PaperDragonHead	龙（头)
object_PaperDragonBody	龙（身)
object_PaperDragonTail	龙（尾 ）
object_PaperLantern	灯笼
object_CoupletBanner	对联横批
buildtoolbar_popup_obj_OxStatue	生肖牛的雕像
buildtoolbar_popup_obj_PaperDragonHead	一张龙头的剪纸
buildtoolbar_popup_obj_PaperDragonBody	一张龙身的剪纸
buildtoolbar_popup_obj_PaperDragonTail	一张龙尾的剪纸
buildtoolbar_popup_obj_PaperLantern	一盏为你的监狱带来光明的红灯笼
buildtoolbar_popup_obj_CoupletBanner	一副装饰性的对联
object_PinkFlamingo	粉红色火烈鸟
object_HayBale	干草堆
object_FlowerPlanterWateringCan	花盆（洒水壶）
object_FlowerPlanterWellies	花盆（雨靴）
object_FlowerPlanterWheelbarrow	花盆（手推车）
object_SmallServingTable	配餐桌（小）
object_TrayDispenser	餐盘分发柜
object_SolarWallLight	壁灯（太阳能）
buildtoolbar_popup_obj_HayBale	没有什么比一大堆干草更具有农场气息。
buildtoolbar_popup_obj_FlowerPlanterWateringCan	一件简单的容器，现在改用作花盆。
buildtoolbar_popup_obj_FlowerPlanterWellies	一双雨靴，现在改用作花盆。
buildtoolbar_popup_obj_FlowerPlanterWheelbarrow	为你的户外区域增添几许色彩。
buildtoolbar_popup_obj_SmallServingTable	用于为囚犯分发食物。
buildtoolbar_popup_obj_TrayDispenser	用于储存多余的餐盘，最大容量为 200。
buildtoolbar_popup_obj_SolarWallLight	一只可安装于墙壁上的太阳能灯，在夜间会自动开启。
object_FoodTrayPack	餐盘堆
buildtoolbar_popup_obj_FoodTrayPack	一堆 40 个餐盘 - 双击或按住即可购买
d11_staffalert_summary_BasicFarming03	和其他农作物不同的是，果树会持续不断地产出水果，因此无需在收获之后将其移除。
d11_ingredients_crops_per_day_tooltip	过去 24 小时内购得农作物的总数。
buildtoolbar_popup_mat_grasscornerfloor	带有泥土的草坪拐角，对于建设成角度的道路很有用。
buildtoolbar_popup_mat_grasscornerfloor1	带有泥土的草坪拐角，对于建设成角度的道路很有用。
buildtoolbar_popup_mat_grasscornerfloor2	带有泥土的草坪拐角，对于建设成角度的道路很有用。
buildtoolbar_popup_mat_grasscornerfloor3	带有泥土的草坪拐角，对于建设成角度的道路很有用。
buildtoolbar_Logistics_CropDistribution	决定农作物收获后将会转换到哪些房间，你也可以通过管理分配窗口调整分配比例。
d11_hover_alert_water	需要水源
d11_hover_alert_electricity	需要电力
interfacemode_objectPack_filter_caption	根据相关扩展包，过滤显示的物品数量。
interfacemode_objectType_filter_caption	根据物品类型，过滤显示的物品数量。
d11_powerstation_overloaded_two_stations	已过载，电站之间不能相互连接
buildtoolbar_deployment_PrioritizeFarmer	使用此选项，可以优先安排农民在特定区域内劳作，完成工作后他们才会去监狱的其他区域工作。如果你人手紧缺，农民会优先打理你设置的优先区域。指派 1 名、2 名或 3 名农民优先在一片区域内劳作。
interfacetopbar_tooltip_totalFarmers	共计 *X 名农民
interfacetopbar_tooltip_farmer	监狱中待命的农民数量。
d11_farm_search_freq_caption	农场搜索频率
d11_farm_search_target_caption	农场搜索目标
d11_farm_search_target_option_everything	所有事项
interface_action_searchRoom	搜查房间
mutator_name_Noir	黑色空间
mutator_tooltip_Noir	一种暗而脏的滤镜，能过滤掉监狱内大部分的颜色。
mutator_name_RoofView	屋顶视角
mutator_tooltip_RoofView	添加类似战争迷雾的效果，区别是会在能见度较低的区域显示建筑物屋顶，而非“迷雾”。
job_group_hovering_expand	点击以扩展相似的工作类型
job_group_hovering_collapse	点击以折叠相似的工作类型
interfacemode_objectType_filter_all	物品类型：所有类型
objective_HelpGreenEnergy_child_1_description	可使用三种新型绿色电源替换发电站。\n\n风力发电机\n太阳能电池板\n太阳能供电的风力发电机\n游戏初期只可获取太阳能电池板。\n\n每个绿色电源的属性会有些许不同，例如电能输出量可能有所区别，但与发电站不同的是，这些电源可以相互连接，一排最多 50 个。
objective_HelpNarcoticProduction_child_1_description	满足特定条件的囚犯能够自己酿酒。\n\n首先。他们将从农业房间、厨房区域或任何能接近的自动贩卖机中获取酿酒原料。\n\n接着，到了晚上，他们会在自己的牢房内用这些原料进行酿制，然后将酿制中的酒储存几日以待其发酵。
reports_farmingpolicytitle	农业政策
report_policy_categoryTooltip_PrisonerTransfer	传奇
roomgrading_has_pa_system	[*X] 在牢房区块中设有广播系统
buildtoolbar_popup_mat_Water	创建溪流、河流等无法穿越的水域。
object_walkwaystairs	步道楼梯（建造中）
buildtoolbar_popup_obj_walkwaystairs	在高耸的步道（城墙步道）旁放置，以便警卫前往步道并在上方巡逻。
buildtoolbar_popup_mat_PerimeterWall	无法在下方铺设水管。
dlc_name_psychWard	精神病房
dlc_name_prisonWing	批准移送
d11_continuous_fertilizer_caption	不间断施肥
d11_farm_search_freq_option_never	从不
Ingredients_UsageCaption_tooltip	控制餐食所使用的监狱自产食材和外部配送食材的比例，如果储存的食材数量不足，则监狱会订购食材。
report_target_rewards	[奖励]
report_target_progress	[进度]
codex_options_staffalertscaption	员工警告
reform_program_and	以及
objective_intake_closedriot	在监狱暴动期间不可接收
causeofdeath_exposure	被冻死
needs_help_staffwarmth	员工需要保持温暖，在您的监狱中放上暖气片让他们舒适
codex_options_enableturbomode	啟用加速模式
reputation_swimmer_high	游泳者
object_TherapyAnimal	提供治疗的动物
object_TherapyAnimalContainer	提供治疗的动物的笼子
object_AnimalTherapist	动物治疗师
object_RestaurantCustomer	平民顾客
object_DisplayCounter	展示柜
object_RehabilitatedPrisoner	已改造的囚犯
object_Oven	烤箱
object_DoughMixer	揉面机
object_Dough	面团
object_BreadLoaf	长面包
object_BreadBun	圆面包
object_Cake	蛋糕
object_Cupcake	纸杯蛋糕
object_Baguette	法式长棍面包
object_CivilianChild	潜在犯罪者
object_RestaurantMeal	餐厅食物
object_RestaurantIngredientsCooking	餐厅食物（烹制中）
object_RestaurantPlateDirty	盘子（脏）
object_CakeStand	蛋糕架
object_GrassBridge	被草覆盖的道路桥
object_DiningTableLarge	餐桌（大型）
object_DiningTableSmall	餐桌（小型）
object_DinerBooth	餐厅卡座
object_DiningChair	餐椅
object_SaloonDoor	沙龙大门（双开）
object_OrnateLantern	景观灯
object_Chandelier	吊灯
object_WallPanel	墙板（红色）
object_WallPanelWood	墙板（木质）
object_WallPanelStone	墙板（石质）
object_WallPanelCorner_A	A 型墙板角件（红色）
object_WallPanelWoodCorner_A	A 型墙板角件（木质）
object_WallPanelStoneCorner_A	A 型墙板角件（石质）
object_WallPanelCorner_B	B 型墙板角件（红色）
object_WallPanelWoodCorner_B	B 型墙板角件（木质）
object_WallPanelStoneCorner_B	B 型墙板角件（石质）
